"body_len", "creation_date", "labels", "id", "title_len", "last_modified_date", "closed_at", "author", "comments_num"
None, 2021-09-21 13:43:23, , 1002514438, 46, None, 2021-09-21 13:48:01, Erez Shinan, 0
787, 2021-09-20 18:42:38, , 1001280024, 45, None, 2022-01-04 13:17:48, Patrick Lannigan, 3
91, 2021-09-18 20:14:56, , 1000124204, 22, None, 2021-09-19 15:49:38, None, 3
169, 2021-09-15 13:48:52, , 997109237, 23, None, 2021-09-24 13:25:21, None, 15
651, 2021-09-14 22:55:57, , 996503065, 58, None, 2021-09-16 18:59:41, ornariece, 1
1070, 2021-09-13 17:57:42, , 995169257, 34, None, 2021-09-19 15:49:38, ornariece, 5
164, 2021-09-13 14:31:39, , 994966308, 29, None, 2021-09-23 22:10:44, ornariece, 1
152, 2021-09-13 10:55:47, , 994744629, 39, None, 2021-09-13 12:03:38, Erez Shinan, 1
None, 2021-09-12 20:52:18, , 994279107, 34, None, 2021-09-12 22:10:47, Erez Shinan, 1
22, 2021-09-12 19:45:44, , 994264349, 45, None, 2021-09-12 20:09:45, Erez Shinan, 2
856, 2021-09-07 02:42:20, , 989540269, 38, None, 2021-10-18 08:45:52, None, 10
None, 2021-09-06 13:16:16, , 989164884, 48, None, 2021-09-06 13:41:59, Erez Shinan, 3
1343, 2021-09-06 04:18:37, enhancement, 988737984, 46, None, 2021-10-18 09:29:08, None, 5
2707, 2021-09-04 16:24:09, , 988324805, 23, None, 2021-10-17 09:47:06, Carlos Bobed, 20
None, 2021-09-04 15:42:56, , 988317440, 70, None, 2021-09-06 13:42:20, Erez Shinan, 3
1115, 2021-09-04 05:04:04, enhancement, 988212058, 49, None, 2021-09-05 07:53:51, Antonio Tejada, 5
264, 2021-09-03 14:11:00, , 987810943, 18, None, 2021-09-13 08:34:25, ornariece, 5
1625, 2021-08-31 23:04:10, , 984408305, 28, None, 2021-10-18 14:12:03, None, 5
1679, 2021-08-30 20:23:27, question, 983172083, 61, None, 2021-08-31 13:55:41, None, 10
None, 2021-08-30 12:56:58, , 982762337, 47, None, 2021-08-31 11:55:20, Erez Shinan, 1
293, 2021-08-30 11:57:14, , 982711231, 47, None, 2021-08-30 13:40:05, Michael K., 2
438, 2021-08-29 21:11:47, , 982204624, 34, None, 2021-08-30 08:20:35, None, 2
None, 2021-08-29 09:20:19, , 982044774, 18, None, 2021-08-30 09:08:55, Erez Shinan, 1
None, 2021-08-29 07:35:46, , 982021123, 36, None, 2021-08-29 09:11:53, Peter Wienemann, 1
1020, 2021-08-29 07:04:24, , 982014320, 153, None, 2021-10-17 09:55:43, Antonio Tejada, 8
238, 2021-08-28 10:28:05, , 981800117, 41, None, 2021-08-28 18:41:18, Erez Shinan, 4
None, 2021-08-27 12:00:16, , 981177097, 51, None, 2021-08-27 12:06:54, Erez Shinan, 1
None, 2021-08-27 10:31:17, , 981110065, 44, None, 2021-08-27 12:00:31, Erez Shinan, 4
595, 2021-08-27 07:49:18, , 980974947, 28, None, 2021-08-28 18:41:50, Robin Alexander Dorstijn, 19
None, 2021-08-26 15:18:36, , 980367733, 40, None, 2021-08-27 07:36:02, Robin Alexander Dorstijn, 0
159, 2021-08-25 22:59:03, , 979680458, 33, None, 2021-08-26 14:20:02, Erez Shinan, 2
122, 2021-08-25 01:11:52, , 978608261, 48, None, 2021-08-26 14:20:04, None, 13
18260, 2021-08-20 23:36:18, , 975981218, 25, None, 2022-03-16 10:59:19, Tomasz Kłoczko, 35
464, 2021-08-20 16:08:45, , 975742535, 19, None, 2022-01-21 07:51:58, Patrick Lannigan, 12
3066, 2021-08-19 18:48:59, , 974948586, 49, None, 2022-03-16 13:04:20, Patrick Lannigan, 7
361, 2021-08-17 22:38:26, , 973116039, 61, None, 2021-09-13 08:31:36, None, 2
38, 2021-08-17 11:25:21, , 972583159, 20, None, 2021-08-21 17:09:55, Erez Shinan, 2
48, 2021-08-17 11:19:39, , 972578492, 18, None, 2021-08-17 11:22:21, Erez Shinan, 2
None, 2021-08-17 11:07:03, , 972567915, 20, None, 2021-08-17 11:10:59, Erez Shinan, 1
104, 2021-08-17 08:59:48, , 972459934, 29, None, 2021-08-17 09:11:53, Michael K., 1
179, 2021-08-17 08:58:54, , 972459172, 31, None, 2021-08-17 09:42:52, Michael K., 2
None, 2021-08-17 08:26:15, , 972432099, 29, None, 2021-08-17 10:53:18, Erez Shinan, 1
None, 2021-08-17 08:16:56, , 972424039, 21, None, 2021-08-17 10:55:40, Erez Shinan, 1
1923, 2021-08-16 14:30:47, , 971799753, 38, None, 2021-08-17 15:20:11, Patrick Lannigan, 3
269, 2021-08-09 22:05:20, , 964426248, 54, None, 2021-08-10 13:11:11, Louis Sautier, 2
2348, 2021-08-04 15:25:04, , 960624767, 63, None, 2021-08-04 18:03:32, None, 7
241, 2021-08-03 02:01:50, question, 958645142, 60, None, 2021-10-17 09:57:06, Christopher O'Toole, 3
3012, 2021-08-01 03:53:15, , 957380099, 52, None, 2021-10-17 09:56:48, Enjoys Math, 2
342, 2021-07-27 08:47:31, , 953651463, 53, None, 2021-07-27 14:12:59, Erez Shinan, 5
1997, 2021-07-26 12:52:04, question, 952870023, 71, None, 2021-07-26 13:51:31, Richard Jones, 4
0, 2021-07-26 09:28:52, , 952699974, 34, None, 2021-07-27 08:49:18, Erez Shinan, 1
524, 2021-07-25 23:22:43, , 952376380, 14, None, 2021-07-27 14:13:01, None, 16
1001, 2021-07-24 21:11:05, question, 952148756, 57, None, 2021-07-25 13:44:14, None, 2
972, 2021-07-23 13:10:33, question, 951566724, 20, None, 2021-07-23 14:05:45, None, 3
0, 2021-07-22 08:24:56, , 950418304, 42, None, 2021-07-22 10:53:44, Erez Shinan, 1
0, 2021-07-15 15:25:29, , 945504139, 28, None, 2021-09-13 08:13:46, Erez Shinan, 1
2199, 2021-07-14 20:34:46, question, 944776689, 42, None, 2021-07-15 18:51:58, Justin Gray, 5
149, 2021-07-13 14:12:34, , 943447246, 19, None, 2021-07-13 15:54:10, None, 12
417, 2021-07-13 13:59:24, , 943426830, 40, None, 2021-07-13 14:10:58, None, 4
0, 2021-07-09 19:45:43, , 941023375, 59, None, 2021-07-27 08:51:47, Erez Shinan, 0
1238, 2021-07-09 19:35:54, , 941018362, 90, None, 2021-07-22 15:04:30, Brando Miranda, 11
1878, 2021-07-09 18:35:41, , 940985269, 69, None, 2021-10-17 10:01:15, Brando Miranda, 2
